date	Argentina	Bangladesh	Belarus	Belgium	Bolivia	Brazil	Canada	Chile	China	Colombia	Dominican_Republic	Ecuador	Egypt	France	Germany	India	Indonesia	Iran	Iraq	Israel	Italy	Kazakhstan	Kuwait	Mexico	Oman	Pakistan	Panama	Peru	Philippines	Qatar	Romania	Russia	Saudi_Arabia	South_Africa	Spain	Sweden	Turkey	Ukraine	United_Kingdom	United_States_of_America
20191231			0	0		0	0		27		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200101			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200102			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200103			0	0		0	0		17		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200104			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200105			0	0		0	0		15		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200106			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200107			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200108			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200109			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200110			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200111			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200112			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200113			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200114			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200115			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200116			0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
20200117			0	0		0	0		4		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0			0	0			0	0
