date	Argentina	Bangladesh	Belgium	Bolivia	Brazil	Canada	Chile	China	Colombia	Ecuador	Egypt	France	Germany	Guatemala	India	Indonesia	Iran	Iraq	Ireland	Italy	Kazakhstan	Mexico	Netherlands	Pakistan	Panama	Peru	Philippines	Poland	Portugal	Romania	Russia	Saudi_Arabia	South_Africa	Spain	Sweden	Switzerland	Turkey	Ukraine	United_Kingdom	United_States_of_America
20191231			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200101			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200102			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200103			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200104			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200105			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200106			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200107			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200108			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200109			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200110			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200111			0		0	0		1		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200112			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200113			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200114			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200115			0		0	0		1		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200116			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200117			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200118			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200119			0		0	0		1		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200120			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200121			0		0	0		3		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200122			0		0	0		11		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200123			0		0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200124			0		0	0		9		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200125			0		0	0		15		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200126			0		0	0		15		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200127			0		0	0		25		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200128			0		0	0		25		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200129			0		0	0		26		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200130			0		0	0		38		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200131			0		0	0		43		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200201			0		0	0		46		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200202			0		0	0		45		0	0	0	0		0	0	0	0	0	0		0	0	0			1			0	0			0	0	0			0	0
20200203			0		0	0		57		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200204			0		0	0		65		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200205			0		0	0		66		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200206			0		0	0		72		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200207			0		0	0		73		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200208			0		0	0		86		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200209			0		0	0		89		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200210			0		0	0		97		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200211			0		0	0		108		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200212			0		0	0		97		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200213			0		0	0		254		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
20200214			0		0	0		13		0	0	0	0		0	0	0	0	0	0		0	0	0			0			0	0			0	0	0			0	0
